id,class_of_business_group_id,class_of_business,created_at,created_by,updated_at,updated_by,IsPL,IsGL,isBOP,is_active,row
230,4,Technology Services,6/12/2018,V9.0.91,6/13/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,227
231,8,Telecommunications Consulting,6/12/2018,V9.0.91,9/11/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,228
232,8,"Tile, Stone, Marble, Mosaic or Terrazzo Work (Interior Only)",6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,229
233,8,Title Agency/Abstracting,6/12/2018,V9.0.91,9/11/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,230
234,8,"Training (Business, Vocational or Life Skills)",6/12/2018,V9.0.91,9/11/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,231
235,8,Training Consultant,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,232
236,8,Translating/Interpreting,6/12/2018,V9.0.91,9/11/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,233
237,1,Transportation Engineering,6/12/2018,V9.0.91,6/13/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,234
238,8,Travel Agency,6/12/2018,V9.0.91,9/11/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,235
239,8,Trustee Services,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,236
240,8,Tutoring,6/12/2018,V9.0.91,9/11/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,237
241,8,Upholstery Work,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,238
242,4,Value added Reseller of Computer Hardware,6/12/2018,V9.0.91,,V9.0.91,TRUE,FALSE,FALSE,TRUE,239
243,8,Videography,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,240
244,8,Waste Management Consultant,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,241
